time relative to tcryst: 405523154.0490658 years
r/r_wd                        rho                           c_sound                       N_squared                     v_conv                        B_crit                        r                             pressure                      B_crit_p
0.9999460882176991            0.08839367291011448           3287340.030725001             -3.441471838137004            9517.806553119188             10031.188595585301            0.005874935961302234          629101961766.4005             3976311.9610455623            
0.999945498634619             0.09017158062896519           3307330.9703340405            -3.3334798907955294           9465.76970738987              10076.17513942485             0.005874932497352647          648390256686.7919             4036808.7069529817            
0.9999449206756365            0.09192880594847333           3326999.726755223             -3.2318519519998077           9415.69365043412              10120.059395528666            0.005874929101697571          667678596201.0793             4096412.2573632225            
0.9999443537637317            0.09366641192751635           3346323.1550324433            -3.136030565222153            9367.384888211449             10162.843526982342            0.005874925770946868          686966979456.9904             4155161.047103567             
0.9999437973679842            0.09538529772636173           3365281.2534382166            -3.0455105057769427           9320.673013547274             10204.528059497505            0.005874922501981246          706255405643.2416             4213090.831137527             
0.9999432509981364            0.09698883992771826           3382783.091977868             -2.9598395675984643           9275.397930120289             10239.96247322122             0.005874919291920319          724428160197.4861             4266950.373397836             
0.9999427758240084            0.09847940367019593           3398900.1567959134            -2.88780492377768             9236.510239141377             10275.088071909506            0.005874916500152237          741485233384.96               4316891.994894015             
0.9999423078415739            0.09995669926196726           3414704.178933185             -2.8190121025363926           9198.672032685723             10309.462427358705            0.005874913750637172          758542338503.9354             4366262.50981847              
0.9999418467751908            0.10142089390575064           3430201.9500590167            -2.7532363217028677           9161.812380139934             10343.083788160888            0.005874911041755657          775599475082.5912             4415081.075629365             
0.999941392364721             0.10335003755378279           3450456.1539410613            -2.690307742740585            9126.002591158798             10400.179599455645            0.005874908371979314          798342365195.1478             4479345.049934489             
0.9999406491498446            0.10573357785192036           3474985.229966025             -2.5912174821879757           9068.298035073734             10452.909279577949            0.0058749040054041            826771062355.3921             4558401.3826747015            
0.9999399226881097            0.1080827373927441            3498745.2454823544            -2.4987167849067515           9012.78058114862              10503.69005215063             0.005874899737257826          855199842130.1288             4636110.0430314755            
0.9999392120148739            0.11039853054697275           3521767.7940538665            -2.4122170884492067           8959.51778384835              10552.885213764823            0.005874895561872974          883628702724.1407             4712537.695110132             
0.9999385162482175            0.1124569912724648            3541867.7251666468            -2.331160345123095            8908.324974233565             10589.957414001947            0.005874891474068043          909214748470.6555             4780278.12942377              
0.9999379698226999            0.11426513673842842           3559310.8617071547            -2.269933336425926            8868.845859515492             10627.446094540817            0.005874888263680041          931957949958.1619             4839696.0640463075            
0.9999374320433033            0.11669974949322523           3582565.705329242             -2.2117392249091643           8830.833547157323             10694.034792241493            0.005874885104090186          963004010781.6871             4919647.4065926755            
0.9999365210223737            0.11974713852159938           3610971.4142864808            -2.117525692389325            8767.81727262992              10755.460122624503            0.005874879751612004          1002353025414.7308            5019151.243743445             
0.9999356331839938            0.12251847849590732           3636257.0775777563            -2.030679967714301            8707.660574328225             10804.563376410102            0.005874874535337159          1038633342918.9229            5109178.31349621              
0.9999349007794951            0.12502214167605583           3658789.3059763373            -1.9625919985708427           8659.137523951444             10853.580613906099            0.005874870232275646          1071844920846.2455            5190221.674740375             
0.9999341830409156            0.1274967058643314            3680815.898226007             -1.8988130678274433           8612.530789215                10901.47345247497             0.005874866015380114          1105056594128.8765            5270019.1103382055            
0.9999334792318094            0.1299429784871756            3702432.6566742165            -1.838919398487201            8567.600459835992             10948.145136473466            0.005874861880323758          1138268360916.5793            5348626.381020997             
0.9999327886714716            0.13236161400033902           3723726.346563662             -1.7825539446838508           8524.205849301423             10993.59890636824             0.005874857823107264          1171480219449.4688            5426095.208341416             
0.9999321107287673            0.1347531516466328            3744774.9973299275            -1.7293990873713885           8482.238356687556             11037.859711062956            0.005874853840022555          1204692168051.5386            5502473.672804168             
0.999931444816991             0.13711803971429593           3765622.575117873             -1.6791754480273275           8441.609358337117             11080.962391642532            0.0058748499276225895         1237904205124.6792            5577806.562918872             
0.999930790389394             0.1394567026856832            3786258.6221112655            -1.631634442524306            8402.239826255072             11122.942746818759            0.005874846082695079          1271116329143.25              5652135.68237314              
0.9999301469355885            0.14176960533411906           3806666.4377824804            -1.5865550572028557           8364.058379544402             11163.838690974122            0.005874842302241366          1304328538649.5522            5725500.12130919              
0.9999295139786142            0.14459606443403553           3831661.547795379             -1.543758206467118            8327.099805270922             11224.756751365592            0.00587483858345919           1345472389995.497             5815101.839877101             
0.9999285969844317            0.14792268714295928           3860874.5727601117            -1.4842969898413776           8274.413173009138             11281.309882307141            0.005874833195886637          1394547979107.9875            5920203.838547552             
0.9999277006108426            0.15119750248558958           3889455.967344357             -1.4288965372347306           8223.749108517342             11335.667355040552            0.005874827929465282          1443623744193.8638            6023472.586013641             
0.9999268236504223            0.15362602668365272           3910367.165800316             -1.3771488210855052           8174.925277603202             11358.503674667094            0.0058748227771011985         1480430697130.5078            6099777.177736262             
0.9999263921011535            0.15522731291262173           3924112.347004569             -1.3525491913398393           8151.238163175516             11384.463902277805            0.005874820241640189          1504968708115.4604            6150121.063717723             
0.9999259650032737            0.15760380446798838           3944409.0196619956            -1.3287733950527911           8128.189085628554             11438.842452678242            0.005874817732332215          1541775787478.3765            6224873.64525558              
